feature	p_value	HR	HR_low	HR_high	present	absent	present_MGUS	present_SMM	FDR
CNV.SNV_EP300	0.581076272057067	1.251535987218	0.564531542269306	2.77458779540526	20	145	1	19	0.796864413077143
CNV.SNV_TENT5C	0.0973152215523673	1.93628920087211	0.87348420914409	4.29225374673658	11	154	1	10	0.492745132197853
CNV.SNV_FUBP1	0.726549927522264	1.17930163668962	0.468615116604196	2.96779233324112	11	154	1	10	0.86762758335183
CNV.SNV_KMT2B	0.668886076247847	1.35949334465233	0.330024558715484	5.6002564213633	5	160	0	5	0.838191527332603
CNV.SNV_KMT2C	0.0463074608843749	3.8337033676004	0.922099151659686	15.9389383281581	4	161	0	4	0.299779878356743
CNV.SNV_MAX	0.954884253706608	0.976011966782523	0.41727355838834	2.2829133074762	20	145	3	17	0.983859132706203
CNV.SNV_NCOR1	0.00858638930528188	4.27920308686996	1.31023696916436	13.9757765119054	4	161	0	4	0.0880104903791393
CNV.SNV_NF1	0.00203654143092546	5.29835830161155	1.61588388576011	17.3729071374771	4	161	0	4	0.0278327328893146
CNV.SNV_NFKBIA	0.974324635504972	0.982927398262296	0.353068826753385	2.73642473378011	12	153	1	11	0.983859132706203
CNV.SNV_POT1	0.049026573783827	3.79680803573102	0.907823020333038	15.8794731322226	4	161	2	2	0.301513428770536
CNV.SNV_PRDM1	0.227570099604003	1.55058983100579	0.756208003921462	3.17945434529976	21	144	3	18	0.711697136323167
CNV.SNV_RASA2	0.246979581567077	1.81621658097735	0.65284296146865	5.05273528812557	6	159	1	5	0.714360994743289
CNV.SNV_RB1	0.583071521763763	0.857312371214004	0.494192376145141	1.48724370774331	67	98	10	57	0.796864413077143
CNV.SNV_RPL5	0.931373750375681	0.9600089467772	0.382117084142387	2.41187116760487	12	153	1	11	0.979136506805203
CNV.SNV_SETD2	0.541081637186517	1.43584029781369	0.446482982596812	4.61750490205678	6	159	1	5	0.796864413077143
CNV.SNV_SP140	0.906702787495749	1.07196151661268	0.333011771616435	3.45063325395625	8	157	1	7	0.964480975122019
CNV.SNV_TET2	0.00023081093471972	5.55974071297322	1.98514059224963	15.5710466634823	4	161	1	3	0.0035487181213157
CNV.SNV_TGDS	0.555329872694275	0.846022003964191	0.48473387952823	1.47659006605479	66	99	9	57	0.796864413077143
CNV.SNV_TP53	0.469870333014159	1.53538789576663	0.477286894021373	4.93920118066578	8	157	0	8	0.750572090399241
CNV.SNV_TRAF2	0.280341975905853	1.91055446193505	0.582537775118328	6.26606291974541	4	161	0	4	0.714360994743289
CNV.SNV_TRAF3	0.282731511085652	0.649159383608112	0.29345774308733	1.43600881303397	26	139	4	22	0.714360994743289
CNV.SNV_UBR5	0.176595450303877	1.78529513753975	0.760339794000015	4.19191360661971	13	152	1	12	0.620606868210768
CNV.SNV_ZNF292	0.313941035255748	1.50620063418553	0.675533109414241	3.35829631265306	15	150	3	12	0.72529089725842
SNV_BRAF	0.235681149078782	1.74062054761591	0.687343430968169	4.40792732464919	12	153	1	11	0.711697136323167
SNV_CCND1	0.162261589199939	0.265865587480263	0.036274410519571	1.94860535550507	7	158	3	4	0.591719278628611
SNV_DIS3	0.953769102225588	1.02805226500197	0.408804918415456	2.58531982362695	14	151	1	13	0.983859132706203
SNV_FGFR3	0.000182113354154013	7.09629249017191	2.13784363030649	23.5552153544788	3	162	0	3	0.00319999179442051
SNV_H1.4	0.908724142399272	1.07285310063678	0.334070035387243	3.4454265681498	8	157	0	8	0.964480975122019
SNV_IDH1	0.361412363483375	2.44312508351639	0.335907407000246	17.7693615839278	1	164	1	0	0.73235376033224
SNV_IRF4	0.456676373457969	0.000000109784292872485	0	Inf	2	163	1	1	0.742421033570397
SNV_KRAS	0.458731695539432	0.726723354218984	0.311042332920376	1.69792590162473	21	144	1	20	0.742421033570397
SNV_NFKB2	0.569624235558886	0.000000301850833817758	0	Inf	1	164	0	1	0.796864413077143
SNV_NRAS	0.0000407475812561926	4.32060834406635	2.01826372443162	9.24936431093659	12	153	0	12	0.00125298812362792
SNV_PIK3CA	0.445458077560473	0.000000109851133158088	0	Inf	1	164	1	0	0.740423561350516
SNV_SF3B1	0.391830614669738	0.43140761841841	0.0595008070516546	3.12789930845601	6	159	0	6	0.73235376033224
SNV_ABCF1	0.374622515621783	2.38790556910007	0.328024248957126	17.3831447677041	2	163	0	2	0.73235376033224
SNV_ACTG1	0.551165508379245	1.81139544275064	0.249126970571611	13.1706071104598	2	163	0	2	0.796864413077143
SNV_BHLHE41	0.000000000000466709601900052	80.4986198356873	7.29929188790625	887.76115477542	1	164	0	1	0.0000000000574052810337064
SNV_DDX3X	0.832650169447223	1.16457560838925	0.281841117135048	4.81205993448195	5	160	1	4	0.93959606277072
SNV_DTX1	0.395848176308869	0.434295482294634	0.0598876725319958	3.14943890732705	6	159	3	3	0.73235376033224
SNV_DUSP2	0.0620105836765004	0.0000000351382491078008	0	Inf	6	159	2	4	0.363204847248074
SNV_H1.2	0.649400967526783	1.38559075452058	0.336531027436005	5.70485804426453	5	160	0	5	0.83167608495796
SNV_H1.3	0.00447329497116074	6.20957611823211	1.46623105691495	26.2979258189013	2	163	0	2	0.0550215281452771
SNV_HLA.C	0.969852485253682	1.02365076137291	0.318881982328808	3.28604605881701	9	156	4	5	0.983859132706203
SNV_HUWE1	0.975860277968754	1.03057204389503	0.142215164016163	7.46811175169249	3	162	0	3	0.983859132706203
SNV_IRF1	0.0792480905665626	4.98314458495432	0.677744676434059	36.638767987395	1	164	0	1	0.423805006073356
SNV_KLHL6	0.163192549308523	2.66458563131493	0.638641527847095	11.1173737958204	4	161	0	4	0.591719278628611
SNV_LCE1D	0.544552068547587	0.000000301501687608731	0	Inf	1	164	0	1	0.796864413077143
SNV_LTB	0.624081283323765	0.612341045557371	0.0845181891470939	4.43645988938213	5	160	1	4	0.820491509685782
SNV_MAN2C1	0.825789109139592	0.80079210537972	0.110586012027234	5.7988165436381	3	162	0	3	0.93959606277072
SNV_MRGPRX4	0.891420900669172	0.00000608428989623903	0	Inf	1	164	1	0	0.964480975122019
SNV_PABPC1	0.445458077560473	0.000000109851133158088	0	Inf	1	164	0	1	0.740423561350516
SNV_PRKD2	0.681619390657492	1.50971569282597	0.207137233358987	11.0035334362841	3	162	1	2	0.838191527332603
SNV_SAMHD1	0.275299414783744	2.87071222283117	0.394286613971344	20.9010105194979	2	163	0	2	0.714360994743289
SNV_SLC35G5	0.330213741841232	0.000000102431690041741	0	Inf	1	164	1	0	0.72529089725842
SNV_SYT17	0.385205631547811	0.000000109756890744307	0	Inf	2	163	0	2	0.73235376033224
SNV_TNFRSF11B	0.00000488386415760683	26.325843821664	3.16928213320024	218.677297821643	1	164	0	1	0.00030035764569282
SNV_USP7	0.52204942242115	1.89004603155019	0.260063052526517	13.736184231762	2	163	0	2	0.792741715528413
SNV_ATRX	0.417350377525648	2.24285680276032	0.307648233386284	16.3511637376186	2	163	1	1	0.735438385982299
SNV_KDM6A	0.386043156094624	0.000000107163150783468	0	Inf	1	164	1	0	0.73235376033224
SNV_RPL10	0.418542170884235	2.21900663484065	0.305125814498952	16.1375741136572	1	164	1	0	0.735438385982299
SNV_BCL7A	0.405593466464265	2.26620272817578	0.311479207520873	16.4880180801384	2	163	0	2	0.733647005516244
SNV_EGR1	0.21993744634274	0.309906610473439	0.042778262839397	2.24511471107904	8	157	2	6	0.711697136323167
SNV_MAF	0.753928792554097	0.000000822975771849955	0	Inf	1	164	0	1	0.877373772669302
SNV_MAFB	0.691521989269417	0.000000822566882968414	0	Inf	1	164	1	0	0.838191527332603
SNV_PIM1	0.254904427042995	2.23251947439896	0.53872507643373	9.25173789303595	4	161	0	4	0.714360994743289
SNV_TCL1A	0.600096050330396	0.000000302157554475214	0	Inf	1	164	0	1	0.809457021734235
SNV_XBP1	0.627042291954988	1.62615707395736	0.223549533531665	11.8290867684007	3	162	1	2	0.820491509685782
SNV.HS_DIS3	0.655874636105058	0.725475864727798	0.176021901655958	2.99005535874309	8	157	0	8	0.83167608495796
SNV.noHS_DIS3	0.562394970284023	1.41094270741672	0.439592776700794	4.52864430246864	6	159	1	5	0.796864413077143
CNV.Sig	0.000169546295781355	4.07371239315564	1.84236178921755	9.00753194040015	107	58	17	90	0.00319999179442051
APOBEC	0.00686489033385173	2.08308304193289	1.2098393295403	3.58662084595742	80	85	10	70	0.0767619555512512
t_CCND1	0.111918852105029	0.481958677431415	0.191909913736741	1.21038127853094	26	139	5	21	0.529462261881483
t_MMSET	0.0769379678581275	2.03327503715424	0.910087164063197	4.54264991306647	17	148	2	15	0.423805006073356
t_MAF	0.753928792554097	0.000000822975771849955	0	Inf	1	164	0	1	0.877373772669302
CCND3	0.521514078480568	0.528963128132875	0.0730539189030474	3.83007503396843	6	159	1	5	0.792741715528413
CCND2	0.350490801832912	1.73246025977902	0.537789494115428	5.58102860795078	6	159	1	5	0.730684213990647
MAFA	0.893370981915672	1.14876719994233	0.158575024031844	8.32202982607365	3	162	1	2	0.964480975122019
MYC	0.0000347350239784869	3.3603233519391	1.82689442464097	6.18085691065939	17	148	1	16	0.00125298812362792
